FILIAL;SECAO;DATA;TOTAL
7;436;11/04/2021;R$0;
8;416;11/04/2021;R$839,7;
8;433;11/04/2021;R$2245,34;
8;440;11/04/2021;R$0;
9;411;11/04/2021;R$0;
9;425;11/04/2021;R$0;
9;428;11/04/2021;R$0;
9;435;11/04/2021;R$0;
10;421;11/04/2021;R$0;
10;423;11/04/2021;R$0;
10;430;11/04/2021;R$0;
10;432;11/04/2021;R$0;
10;435;11/04/2021;R$0;
10;436;11/04/2021;R$0;
11;416;11/04/2021;R$0;
11;421;11/04/2021;R$0;
11;425;11/04/2021;R$0;
11;427;11/04/2021;R$0;
11;428;11/04/2021;R$0;
11;433;11/04/2021;R$0;
11;435;11/04/2021;R$0;
12;415;11/04/2021;R$9,65;
12;427;11/04/2021;R$0;
12;436;11/04/2021;R$219,7;
14;416;11/04/2021;R$0;
14;424;11/04/2021;R$0;
14;434;11/04/2021;R$0;
14;445;11/04/2021;R$0;
15;411;11/04/2021;R$0;
15;415;11/04/2021;R$0;
15;417;11/04/2021;R$0;
15;426;11/04/2021;R$0;
15;430;11/04/2021;R$0;
15;436;11/04/2021;R$0;
15;440;11/04/2021;R$0;
16;413;11/04/2021;R$1828,5;
16;422;11/04/2021;R$0;
16;435;11/04/2021;R$2048,98;
17;417;11/04/2021;R$0;
17;433;11/04/2021;R$0;
17;434;11/04/2021;R$188,22;
18;412;11/04/2021;R$0;
18;433;11/04/2021;R$0;
18;434;11/04/2021;R$0;
18;445;11/04/2021;R$0;
1;415;12/04/2021;R$5064,46;
1;424;12/04/2021;R$5504,81;
1;427;12/04/2021;R$702,64;
1;442;12/04/2021;R$0;
2;421;12/04/2021;R$6157,2;
2;425;12/04/2021;R$1167,94;
2;428;12/04/2021;R$7803,95;
2;441;12/04/2021;R$671,32;
3;411;12/04/2021;R$26346,39;
3;441;12/04/2021;R$409,6;
3;445;12/04/2021;R$1313,29;
4;412;12/04/2021;R$4161,61;
4;424;12/04/2021;R$2915,96;
6;411;12/04/2021;R$0;
7;415;12/04/2021;R$5261,85;
7;421;12/04/2021;R$5832,08;
7;423;12/04/2021;R$2134,63;
7;432;12/04/2021;R$438,86;
7;436;12/04/2021;R$41405,33;
8;412;12/04/2021;R$8329,73;
8;420;12/04/2021;R$1566,62;
8;422;12/04/2021;R$108,75;
8;424;12/04/2021;R$7490,69;
8;425;12/04/2021;R$2700,31;
8;431;12/04/2021;R$4164,25;
9;411;12/04/2021;R$16095,12;
9;412;12/04/2021;R$6074,33;
10;420;12/04/2021;R$1043,07;
10;421;12/04/2021;R$9721,52;
10;431;12/04/2021;R$2661,07;
10;432;12/04/2021;R$284,08;
10;434;12/04/2021;R$7145,97;
10;435;12/04/2021;R$20216,91;
10;436;12/04/2021;R$37201,22;
11;436;12/04/2021;R$35518,97;
12;424;12/04/2021;R$2349,32;
12;434;12/04/2021;R$4047,76;
12;435;12/04/2021;R$14545,99;
12;445;12/04/2021;R$336,27;
14;414;12/04/2021;R$7554,35;
14;415;12/04/2021;R$3864,03;
14;417;12/04/2021;R$0;
14;420;12/04/2021;R$1295,83;
14;440;12/04/2021;R$2826,58;
15;416;12/04/2021;R$9680,27;
15;417;12/04/2021;R$0;
15;433;12/04/2021;R$39931,77;
15;434;12/04/2021;R$7749,25;
15;435;12/04/2021;R$26647,33;
16;414;12/04/2021;R$7539,76;
16;420;12/04/2021;R$1920,99;
16;427;12/04/2021;R$137,86;
16;431;12/04/2021;R$3920,21;
17;416;12/04/2021;R$8015,7;
17;425;12/04/2021;R$1063,61;
17;426;12/04/2021;R$1861,51;
17;430;12/04/2021;R$0;
17;445;12/04/2021;R$434,2;
18;414;12/04/2021;R$6043,99;
18;421;12/04/2021;R$3574,98;
18;432;12/04/2021;R$226,37;
18;434;12/04/2021;R$6061,01;
1;411;13/04/2021;R$19111,21;
1;412;13/04/2021;R$6917,37;
1;423;13/04/2021;R$3325,05;
1;433;13/04/2021;R$35721,47;
1;436;13/04/2021;R$39621,13;
1;444;13/04/2021;R$100,4;
2;424;13/04/2021;R$5146,26;
2;430;13/04/2021;R$0;
3;415;13/04/2021;R$6230,76;
3;422;13/04/2021;R$141,51;
3;440;13/04/2021;R$4968,57;
3;445;13/04/2021;R$516,04;
4;421;13/04/2021;R$5770,29;
4;425;13/04/2021;R$812,39;
4;434;13/04/2021;R$9059,08;
6;421;13/04/2021;R$6057,17;
7;421;13/04/2021;R$6162,08;
7;432;13/04/2021;R$470,27;
7;442;13/04/2021;R$0;
7;444;13/04/2021;R$142,83;
8;432;13/04/2021;R$75,84;
8;434;13/04/2021;R$9985,87;
9;415;13/04/2021;R$4254,88;
9;435;13/04/2021;R$18997,8;
10;423;13/04/2021;R$2937,81;
10;428;13/04/2021;R$8588,26;
10;435;13/04/2021;R$18571,51;
11;424;13/04/2021;R$3595,72;
11;426;13/04/2021;R$2120,38;
11;445;13/04/2021;R$720,87;
12;411;13/04/2021;R$6682,28;
12;426;13/04/2021;R$897,57;
12;443;13/04/2021;R$1207,08;
14;425;13/04/2021;R$1118,99;
14;426;13/04/2021;R$1433,96;
14;444;13/04/2021;R$163,94;
15;420;13/04/2021;R$3620,81;
15;424;13/04/2021;R$6044,78;
15;426;13/04/2021;R$1815,27;
16;415;13/04/2021;R$4346,01;
16;423;13/04/2021;R$3640,46;
17;426;13/04/2021;R$1686,71;
17;428;13/04/2021;R$7801,66;
17;432;13/04/2021;R$607,87;
18;423;13/04/2021;R$1719,18;
18;424;13/04/2021;R$3524,13;
18;426;13/04/2021;R$1487,38;
18;433;13/04/2021;R$21388;
18;444;13/04/2021;R$16,99;
1;421;14/04/2021;R$10358,09;
1;430;14/04/2021;R$0;
1;434;14/04/2021;R$10593,93;
2;416;14/04/2021;R$8124,58;
2;421;14/04/2021;R$9757,97;
2;441;14/04/2021;R$459,94;
2;445;14/04/2021;R$787,53;
3;420;14/04/2021;R$2156,28;
3;443;14/04/2021;R$4145,8;
4;422;14/04/2021;R$92,89;
4;423;14/04/2021;R$2001,68;
4;434;14/04/2021;R$10029,66;
4;440;14/04/2021;R$1541,5;
7;414;14/04/2021;R$7851,3;
7;434;14/04/2021;R$8998,13;
7;435;14/04/2021;R$20784,39;
7;440;14/04/2021;R$2881,83;
7;442;14/04/2021;R$0;
9;422;14/04/2021;R$71,91;
9;427;14/04/2021;R$353,45;
9;435;14/04/2021;R$19742,76;
10;422;14/04/2021;R$86,83;
10;424;14/04/2021;R$4878,4;
10;425;14/04/2021;R$1897,32;
10;432;14/04/2021;R$366,98;
10;435;14/04/2021;R$18206,34;
10;440;14/04/2021;R$1571,23;
10;442;14/04/2021;R$0;
10;445;14/04/2021;R$685,62;
11;412;14/04/2021;R$5309,03;
11;414;14/04/2021;R$7907,77;
11;427;14/04/2021;R$274,5;
12;427;14/04/2021;R$198,68;
12;435;14/04/2021;R$12190,61;
12;436;14/04/2021;R$23012,81;
12;440;14/04/2021;R$1208,78;
14;411;14/04/2021;R$15639,27;
14;420;14/04/2021;R$1655,96;
14;423;14/04/2021;R$2915,21;
14;426;14/04/2021;R$1556,17;
15;413;14/04/2021;R$17470,5;
15;414;14/04/2021;R$8566,84;
15;417;14/04/2021;R$0;
15;436;14/04/2021;R$37281,94;
15;445;14/04/2021;R$593,55;
16;433;14/04/2021;R$32371,48;
16;445;14/04/2021;R$469,53;
17;420;14/04/2021;R$2323,2;
17;425;14/04/2021;R$975,06;
17;444;14/04/2021;R$78,41;
18;413;14/04/2021;R$11348,87;
18;441;14/04/2021;R$410,53;
1;416;15/04/2021;R$9786,61;
1;424;15/04/2021;R$6993,08;
1;428;15/04/2021;R$11115,17;
2;411;15/04/2021;R$17653,11;
2;428;15/04/2021;R$7401,76;
2;433;15/04/2021;R$23938,03;
2;435;15/04/2021;R$16832,71;
2;436;15/04/2021;R$33385,65;
2;445;15/04/2021;R$735,04;
3;436;15/04/2021;R$56705,38;
3;443;15/04/2021;R$4282,66;
4;411;15/04/2021;R$15571,75;
4;420;15/04/2021;R$973,98;
4;434;15/04/2021;R$9093,84;
7;421;15/04/2021;R$10042,13;
7;422;15/04/2021;R$76,77;
7;440;15/04/2021;R$4181,49;
7;444;15/04/2021;R$139,2;
8;411;15/04/2021;R$23914,39;
8;415;15/04/2021;R$4568,86;
9;421;15/04/2021;R$14347,71;
9;423;15/04/2021;R$3283,5;
9;427;15/04/2021;R$578,98;
9;436;15/04/2021;R$38898;
10;416;15/04/2021;R$5985,4;
10;430;15/04/2021;R$0;
10;442;15/04/2021;R$0;
11;413;15/04/2021;R$17889,93;
11;425;15/04/2021;R$2055,98;
11;426;15/04/2021;R$1910,76;
12;415;15/04/2021;R$1701,93;
12;421;15/04/2021;R$5416,9;
12;422;15/04/2021;R$39,8;
12;431;15/04/2021;R$2148,71;
12;445;15/04/2021;R$399,14;
14;425;15/04/2021;R$1489,38;
14;433;15/04/2021;R$24956,52;
14;440;15/04/2021;R$2524,92;
14;445;15/04/2021;R$724,29;
